Company Name,Rating,Reviews,Industry,Main Location,Salaries Reported,Interviews,Jobs
ICICI Lombard General Insurance Company,3.5,(5.6k),Insurance,Mumbai +311 other locations,19.7k,349,164
Tata Capital,4.0,(5.6k),NBFC,Mumbai +434 other locations,15.5k,260,3k
Standard Chartered,3.6,(5.6k),Banking,Chennai +68 other locations,41.9k,316,--
Mahindra Finance,3.9,(5.5k),NBFC,Mumbai +728 other locations,11.9k,205,437
Apollo Hospitals,4.1,(5.5k),Healthcare,Chennai +229 other locations,16.4k,461,161
Bosch Global Software Technologies,3.7,(5.5k),IT Services & Consulting,Bangalore / Bengaluru +47 other locations,39.5k,381,7
PolicyBazaar,3.7,(5.5k),Internet,Gurgaon / Gurugram +149 other locations,17k,585,454
UST,3.7,(5.5k),IT Services & Consulting,Bangalore / Bengaluru +50 other locations,39.1k,575,140
Ashok Leyland,4.0,(5.4k),Automobile,Chennai +254 other locations,18.5k,311,--
Citicorp,3.7,(5.4k),Financial Services,Pune +68 other locations,51.5k,614,--
Swiggy,3.7,(5.3k),Internet,Bangalore / Bengaluru +228 other locations,22.6k,546,263
Hero MotoCorp,4.1,(5.3k),Automobile,Gurgaon / Gurugram +364 other locations,15.7k,399,2
Cyient,3.6,(5.3k),IT Services & Consulting,Hyderabad / Secunderabad +48 other locations,27.3k,324,92
SBI Cards & Payment Services,3.7,(5.1k),Financial Services,Gurgaon / Gurugram +433 other locations,15.8k,294,81
